Customer_ID,First_Name,Last_Name,Gender,Age,Date_of_Birth,Marital_Status,Education,Occupation,Employment_Status,Annual_Income,City,State,Region,Branch_ID,Branch_Name,Account_Type,Account_Open_Date,Customer_Tenure_Years,Account_Balance,Savings_Balance,Current_Account_Balance,Number_of_Products,Credit_Card,Debit_Card,Online_Banking,Mobile_Banking,Credit_Score,Credit_Score_Category,Existing_Loans,Outstanding_Debt,Debt_to_Income_Ratio,Loan_ID,Loan_Type,Loan_Application_Date,Loan_Amount,Interest_Rate,Loan_Tenure_Months,Monthly_Installment,Loan_Status,Approval_Date,Loan_Purpose,Risk_Category,Default_Flag,Default_Probability,Customer_Segment,Customer_Status,Last_Transaction_Date,Age_Group,Income_Group,Balance_Category,Loan_Amount_Category,Customer_Tenure_Group,Debt_to_Income_Category,Customer_Value_Category,Loan_Approval_Flag,Monthly_Income,Estimated_Annual_Interest
CUST-12951,Cynthia,Robinson,Female,20,2004-01-27,Single,Doctorate,Professional,Self-Employed,102800.0,Philadelphia,PA,Northeast,BR-003,Philadelphia Central Branch,Savings,2022-07-01,2.0,41279.9,29839.31,11440.59,5,No,Yes,Yes,Yes,674,Good (670-739),2,41911.56,0.4077,LN-102951,Auto Loan,2023-04-17,34400.0,8.31,48,844.82,Approved,2023-04-26,New Vehicle,Low Risk,0,0.0449,Premium,Active,2024-05-17,18-25,Upper-Middle ($100k-$150k),Healthy ($25k-$75k),Medium ($25k-$75k),Developing (1-3 yrs),Manageable (36-49%),Gold,1,8566.67,2858.64
CUST-13482,Melissa,Thomas,Female,42,1982-02-12,Married,High School,Skilled Labor,Salaried,43200.0,Denver,CO,West,BR-013,Denver Mile High Branch,Checking,2020-11-24,3.6,3313.41,2660.03,653.38,2,No,Yes,No,Yes,670,Good (670-739),1,14052.96,0.3253,LN-103482,Personal Loan,2024-03-01,12500.0,13.67,24,598.21,Approved,2024-03-09,Debt Consolidation,Medium Risk,0,0.0981,Standard,Active,2024-06-29,36-50,Lower-Middle ($35k-$60k),Low (<$5k),Small ($10k-$25k),Established (3-7 yrs),Moderate (20-35%),Bronze,1,3600.0,1708.75
CUST-27711,Mark,Scott,Male,52,1971-10-03,Divorced,Bachelor,Sales,Salaried,127100.0,Boston,MA,Northeast,BR-002,Boston Harbor Branch,Checking,2015-09-12,8.8,19731.63,16238.21,3493.42,5,Yes,Yes,Yes,Yes,740,Very Good (740-799),3,45196.76,0.3556,LN-117711,Home Loan,2023-02-16,550000.0,5.54,360,3136.66,Rejected,,Home Purchase,Low Risk,0,0.008,Premium,Active,2024-06-28,51-65,Upper-Middle ($100k-$150k),Moderate ($5k-$25k),Jumbo (>=$200k),Loyal (7-10 yrs),Manageable (36-49%),Gold,0,10591.67,30470.0
CUST-17772,Nicole,Lee,Female,32,1992-03-08,Single,High School,Services,Unemployed,23000.0,New York,NY,Northeast,BR-001,NYC Metro Branch,Money Market,2018-02-05,6.4,8421.0,5988.21,2432.79,2,No,Yes,Yes,Yes,616,Fair (580-669),1,7550.9,0.3283,LN-107772,Home Loan,2021-08-03,82300.0,7.46,240,660.99,Rejected,,Home Purchase,Low Risk,0,0.0458,Standard,Active,2024-05-20,26-35,Low (<$35k),Moderate ($5k-$25k),Large ($75k-$200k),Established (3-7 yrs),Moderate (20-35%),Bronze,0,1916.67,6139.58
CUST-21998,Scott,Johnson,Male,44,1979-08-11,Married,Master,Healthcare,Salaried,141400.0,Minneapolis,MN,Midwest,BR-006,Minneapolis Gateway Branch,Checking,2021-04-19,3.2,54482.43,41651.16,12831.27,5,Yes,Yes,Yes,Yes,740,Very Good (740-799),1,39676.84,0.2806,LN-111998,Home Loan,2024-02-19,498200.0,5.13,240,3323.78,Approved,2024-02-27,Refinance,Low Risk,0,0.008,Premium,Active,2024-06-06,36-50,Upper-Middle ($100k-$150k),Healthy ($25k-$75k),Jumbo (>=$200k),Established (3-7 yrs),Moderate (20-35%),Platinum,1,11783.33,25557.66
CUST-24203,Melissa,Martinez,Female,49,1975-05-22,Married,Associate,Sales,Salaried,93400.0,Denver,CO,West,BR-013,Denver Mile High Branch,Checking,2021-10-18,2.7,19761.89,11132.75,8629.14,2,Yes,Yes,Yes,Yes,750,Very Good (740-799),2,21743.52,0.2328,LN-114203,Education Loan,2021-10-26,58100.0,5.83,84,844.03,Approved,2021-11-09,Undergraduate Studies,Low Risk,0,0.008,Premium,Dormant,2022-08-13,36-50,Middle ($60k-$100k),Moderate ($5k-$25k),Medium ($25k-$75k),Developing (1-3 yrs),Moderate (20-35%),Gold,1,7783.33,3387.23
CUST-10539,Frank,Hill,Male,62,1961-12-18,Divorced,Bachelor,Finance,Salaried,127800.0,Seattle,WA,West,BR-012,Seattle Sound Branch,Savings,2016-10-18,7.7,24843.29,19665.84,5177.45,3,Yes,Yes,Yes,Yes,825,Excellent (800-850),1,42480.72,0.3324,LN-100539,Auto Loan,2022-12-16,66300.0,5.39,48,1538.58,Approved,2022-12-26,New Vehicle,Low Risk,0,0.008,Premium,Dormant,2022-10-30,51-65,Upper-Middle ($100k-$150k),Moderate ($5k-$25k),Medium ($25k-$75k),Loyal (7-10 yrs),Moderate (20-35%),Gold,1,10650.0,3573.57
CUST-29663,Thomas,Martinez,Male,42,1982-05-22,Married,Bachelor,Sales,Self-Employed,70300.0,Miami,FL,South,BR-010,Miami Coastal Branch,Savings,2020-03-13,4.3,2693.53,2233.55,459.98,2,Yes,Yes,Yes,Yes,655,Fair (580-669),2,18327.21,0.2607,LN-119663,Home Loan,2023-01-04,251300.0,6.38,180,2172.55,Rejected,,Home Purchase,Low Risk,0,0.0187,Standard,Active,2024-06-26,36-50,Middle ($60k-$100k),Low (<$5k),Jumbo (>=$200k),Established (3-7 yrs),Moderate (20-35%),Silver,0,5858.33,16032.94
CUST-15690,Jennifer,Sanchez,Female,20,2003-09-14,Single,High School,Skilled Labor,Salaried,23100.0,Boston,MA,Northeast,BR-002,Boston Harbor Branch,Savings,2023-04-19,1.2,11167.53,7441.17,3726.36,3,Yes,Yes,Yes,Yes,667,Fair (580-669),1,9600.36,0.4156,LN-105690,Home Loan,2022-08-23,71600.0,7.08,360,480.21,Rejected,,Home Purchase,Low Risk,0,0.0316,Emerging,Active,2024-06-02,18-25,Low (<$35k),Moderate ($5k-$25k),Medium ($25k-$75k),Developing (1-3 yrs),Manageable (36-49%),Bronze,0,1925.0,5069.28
CUST-20679,Matthew,Rodriguez,Male,55,1969-01-19,Divorced,Bachelor,Professional,Contract,166000.0,Charlotte,NC,South,BR-009,Charlotte Queen City Branch,Savings,2014-04-19,10.2,58320.41,43553.38,14767.03,5,Yes,Yes,Yes,No,820,Excellent (800-850),0,34710.6,0.2091,LN-110679,Business Loan,2023-10-24,145800.0,7.22,36,4516.56,Pending,,Working Capital,Low Risk,0,0.008,Premium,Active,2024-06-04,51-65,High (>=$150k),Healthy ($25k-$75k),Large ($75k-$200k),Veteran (10+ yrs),Moderate (20-35%),Platinum,0,13833.33,10526.76
CUST-23212,Timothy,Allen,Male,46,1978-02-01,Married,Doctorate,Professional,Salaried,117800.0,Miami,FL,South,BR-010,Miami Coastal Branch,Savings,2023-04-19,1.2,54617.59,34005.61,20611.98,3,Yes,Yes,Yes,No,696,Good (670-739),1,35446.02,0.3009,LN-113212,Home Loan,2021-09-25,441900.0,6.57,180,3866.45,Approved,2021-09-29,Home Purchase,Low Risk,0,0.0127,Premium,Active,2024-06-12,36-50,Upper-Middle ($100k-$150k),Healthy ($25k-$75k),Jumbo (>=$200k),Developing (1-3 yrs),Moderate (20-35%),Gold,1,9816.67,29032.83
CUST-18405,James,Nelson,Male,44,1979-09-07,Single,Bachelor,Professional,Salaried,175100.0,Detroit,MI,Midwest,BR-005,Detroit Downtown Branch,Money Market,2004-11-24,19.6,198670.91,147157.32,51513.59,5,Yes,Yes,Yes,Yes,781,Very Good (740-799),1,12099.41,0.0691,LN-108405,Auto Loan,2023-05-03,71800.0,5.63,60,1375.78,Approved,2023-05-14,Used Vehicle,Low Risk,0,0.008,High Value,Active,2024-05-19,36-50,High (>=$150k),Affluent (>=$150k),Medium ($25k-$75k),Veteran (10+ yrs),Low (<20%),Platinum,1,14591.67,4042.34
CUST-14743,Alexander,Lopez,Male,36,1987-08-14,Single,Bachelor,Professional,Salaried,133700.0,Atlanta,GA,South,BR-007,Atlanta Midtown Branch,Savings,2020-06-30,4.0,85219.18,60048.35,25170.83,5,Yes,Yes,No,No,813,Excellent (800-850),1,29627.92,0.2216,LN-104743,Home Loan,2022-06-04,480500.0,4.82,180,3754.86,Approved,2022-06-07,Refinance,Low Risk,0,0.008,High Value,Active,2024-06-12,36-50,Upper-Middle ($100k-$150k),High ($75k-$150k),Jumbo (>=$200k),Established (3-7 yrs),Moderate (20-35%),Gold,1,11141.67,23160.1
CUST-19052,Debra,Baker,Female,34,1989-09-07,Married,Bachelor,Technology,Salaried,76900.0,Charlotte,NC,South,BR-009,Charlotte Queen City Branch,Checking,2023-10-19,0.7,7545.54,5725.58,1819.96,3,No,Yes,Yes,Yes,738,Good (670-739),1,31659.73,0.4117,LN-109052,Auto Loan,2022-12-12,23400.0,7.71,60,471.23,Approved,2022-12-20,Refinance Auto,Low Risk,0,0.0181,Emerging,Active,2024-06-06,26-35,Middle ($60k-$100k),Moderate ($5k-$25k),Small ($10k-$25k),New (<1 yr),Manageable (36-49%),Silver,1,6408.33,1804.14
CUST-23421,Jennifer,Thompson,Female,51,1972-10-20,Married,Bachelor,Sales,Salaried,89500.0,Minneapolis,MN,Midwest,BR-006,Minneapolis Gateway Branch,Certificate of Deposit,2004-06-30,20.0,63107.49,40058.05,23049.44,3,No,Yes,Yes,Yes,824,Excellent (800-850),2,20334.4,0.2272,LN-113421,Personal Loan,2021-04-20,15700.0,10.2,24,725.93,Approved,2021-04-25,Home Renovation,Low Risk,0,0.008,Premium,Active,2024-06-28,51-65,Middle ($60k-$100k),Healthy ($25k-$75k),Small ($10k-$25k),Veteran (10+ yrs),Moderate (20-35%),Gold,1,7458.33,1601.4
CUST-12688,Alexander,Brown,Male,23,2001-03-13,Single,High School,Services,Salaried,36500.0,Miami,FL,South,BR-010,Miami Coastal Branch,Savings,2022-07-01,2.0,5273.17,3436.77,1836.4,5,Yes,Yes,Yes,Yes,641,Fair (580-669),2,19045.7,0.5218,LN-102688,Auto Loan,2021-03-25,16500.0,9.2,60,344.12,Rejected,,New Vehicle,Medium Risk,0,0.1151,Emerging,Active,2024-06-19,18-25,Lower-Middle ($35k-$60k),Moderate ($5k-$25k),Small ($10k-$25k),Developing (1-3 yrs),Critical (>=50%),Bronze,0,3041.67,1518.0
CUST-19799,Gregory,Clark,Male,18,2006-05-31,Married,Bachelor,Professional,Salaried,45700.0,Atlanta,GA,South,BR-007,Atlanta Midtown Branch,Savings,2023-12-31,0.5,13392.51,7743.43,5649.08,3,No,No,No,No,533,Poor (300-579),3,21999.98,0.4814,LN-109799,Personal Loan,2023-04-16,9200.0,15.14,36,319.55,Rejected,,Medical Expenses,Very High Risk,0,0.6214,High Risk,Active,2024-06-05,18-25,Lower-Middle ($35k-$60k),Moderate ($5k-$25k),Micro (<$10k),New (<1 yr),Manageable (36-49%),Silver,0,3808.33,1392.88
CUST-11078,Karen,Robinson,Female,22,2002-03-23,Single,Master,Management,Salaried,103300.0,Detroit,MI,Midwest,BR-005,Detroit Downtown Branch,Checking,2022-05-25,2.1,33131.31,24650.29,8481.02,4,Yes,Yes,No,No,787,Very Good (740-799),0,23056.56,0.2232,LN-101078,Auto Loan,2021-01-11,45900.0,5.49,60,876.53,Approved,2021-01-16,Used Vehicle,Low Risk,0,0.008,Premium,Active,2024-06-14,18-25,Upper-Middle ($100k-$150k),Healthy ($25k-$75k),Medium ($25k-$75k),Developing (1-3 yrs),Moderate (20-35%),Gold,1,8608.33,2519.91
CUST-21228,Emma,Walker,Female,52,1972-01-05,Divorced,Bachelor,Professional,Salaried,150600.0,Seattle,WA,West,BR-012,Seattle Sound Branch,Checking,2018-02-05,6.4,50984.65,37906.14,13078.51,2,Yes,Yes,Yes,Yes,850,Excellent (800-850),1,35782.56,0.2376,LN-111228,Education Loan,2024-05-21,76900.0,4.7,84,1076.09,Approved,2024-05-30,Undergraduate Studies,Low Risk,0,0.008,Premium,Active,2024-05-22,51-65,High (>=$150k),Healthy ($25k-$75k),Large ($75k-$200k),Established (3-7 yrs),Moderate (20-35%),Platinum,1,12550.0,3614.3
CUST-10352,Amanda,Martinez,Female,53,1970-10-30,Married,High School,Logistics,Salaried,49100.0,Boston,MA,Northeast,BR-002,Boston Harbor Branch,Checking,2022-03-13,2.3,28832.43,17108.82,11723.61,4,Yes,Yes,Yes,Yes,817,Excellent (800-850),2,6137.5,0.125,LN-100352,Auto Loan,2024-05-13,22600.0,5.41,72,368.29,Approved,2024-05-19,Used Vehicle,Low Risk,0,0.008,Emerging,Active,2024-06-03,51-65,Lower-Middle ($35k-$60k),Healthy ($25k-$75k),Small ($10k-$25k),Developing (1-3 yrs),Low (<20%),Silver,1,4091.67,1222.66
CUST-28492,Steven,Lewis,Male,34,1989-11-25,Single,Associate,Services,Contract,46200.0,Phoenix,AZ,West,BR-014,Phoenix Valley Branch,Savings,2016-02-05,8.4,13584.35,8451.19,5133.16,3,Yes,No,Yes,Yes,696,Good (670-739),1,18452.28,0.3994,LN-118492,Auto Loan,2024-04-20,15900.0,7.95,72,278.39,Pending,,Used Vehicle,Low Risk,0,0.0313,Standard,Active,2024-06-21,26-35,Lower-Middle ($35k-$60k),Moderate ($5k-$25k),Small ($10k-$25k),Loyal (7-10 yrs),Manageable (36-49%),Silver,0,3850.0,1264.05
CUST-16138,Melissa,Rivera,Female,50,1974-06-12,Married,Master,Technology,Salaried,176500.0,New York,NY,Northeast,BR-001,NYC Metro Branch,Checking,2016-05-25,8.1,18513.1,12101.89,6411.21,3,Yes,Yes,No,No,714,Good (670-739),1,48149.2,0.2728,LN-106138,Personal Loan,2023-07-29,27100.0,11.93,24,1274.81,Approved,2023-08-07,Medical Expenses,Low Risk,0,0.0391,Premium,Active,2024-06-22,36-50,High (>=$150k),Moderate ($5k-$25k),Medium ($25k-$75k),Loyal (7-10 yrs),Moderate (20-35%),Platinum,1,14708.33,3233.03
CUST-22291,Paul,Johnson,Male,37,1987-06-27,Married,Master,Management,Self-Employed,85200.0,San Francisco,CA,West,BR-011,San Francisco Tech Branch,Money Market,2022-09-12,1.8,58828.37,48727.79,10100.58,1,No,Yes,Yes,Yes,618,Fair (580-669),2,43511.64,0.5107,LN-112291,Auto Loan,2021-12-31,20400.0,9.64,60,429.84,Rejected,,Used Vehicle,High Risk,0,0.1512,Standard,Active,2024-05-20,36-50,Middle ($60k-$100k),Healthy ($25k-$75k),Small ($10k-$25k),Developing (1-3 yrs),Critical (>=50%),Gold,0,7100.0,1966.56
CUST-27253,Charles,Scott,Male,40,1983-12-20,Widowed,Bachelor,Professional,Salaried,107600.0,Dallas,TX,South,BR-008,Dallas Commercial Branch,Savings,2021-11-24,2.6,61472.59,33944.2,27528.39,5,Yes,Yes,Yes,Yes,694,Good (670-739),3,27190.52,0.2527,LN-117253,Home Loan,2021-02-08,377200.0,6.03,240,2708.91,Approved,2021-02-19,Home Purchase,Low Risk,0,0.0102,Premium,Active,2024-05-19,36-50,Upper-Middle ($100k-$150k),Healthy ($25k-$75k),Jumbo (>=$200k),Developing (1-3 yrs),Moderate (20-35%),Gold,1,8966.67,22745.16
CUST-17713,Mark,Rodriguez,Male,57,1966-08-18,Married,Bachelor,Technology,Salaried,96600.0,Boston,MA,Northeast,BR-002,Boston Harbor Branch,Savings,2023-07-01,1.0,46236.76,32696.64,13540.12,4,Yes,Yes,Yes,Yes,736,Good (670-739),3,39345.18,0.4073,LN-107713,Auto Loan,2021-01-14,41000.0,8.1,36,1286.68,Approved,2021-01-27,New Vehicle,Low Risk,0,0.0188,Premium,Active,2024-06-22,51-65,Middle ($60k-$100k),Healthy ($25k-$75k),Medium ($25k-$75k),Developing (1-3 yrs),Manageable (36-49%),Gold,1,8050.0,3321.0
CUST-27084,Cynthia,Torres,Female,53,1971-02-04,Married,Associate,Healthcare,Contract,58400.0,Minneapolis,MN,Midwest,BR-006,Minneapolis Gateway Branch,Savings,2023-11-24,0.6,12407.73,8540.66,3867.07,2,Yes,No,Yes,No,764,Very Good (740-799),1,6464.88,0.1107,LN-117084,Personal Loan,2024-04-10,10800.0,10.33,24,500.01,Rejected,,Major Purchase,Low Risk,0,0.0088,Emerging,Inactive,2024-02-18,51-65,Lower-Middle ($35k-$60k),Moderate ($5k-$25k),Small ($10k-$25k),New (<1 yr),Low (<20%),Silver,0,4866.67,1115.64
CUST-21342,Jason,Miller,Male,22,2001-09-05,Single,Bachelor,Professional,Salaried,71900.0,Dallas,TX,South,BR-008,Dallas Commercial Branch,Checking,2020-06-30,4.0,13386.75,8514.59,4872.16,5,Yes,Yes,Yes,No,761,Very Good (740-799),1,7578.26,0.1054,LN-111342,Auto Loan,2022-04-16,33200.0,5.74,72,546.15,Approved,2022-04-25,New Vehicle,Low Risk,0,0.008,Standard,Active,2024-06-06,18-25,Middle ($60k-$100k),Moderate ($5k-$25k),Medium ($25k-$75k),Established (3-7 yrs),Low (<20%),Silver,1,5991.67,1905.68
CUST-13278,Kenneth,Davis,Male,46,1977-12-21,Married,High School,Administrative,Salaried,42000.0,Chicago,IL,Midwest,BR-004,Chicago Loop Branch,Savings,2017-04-19,7.2,13372.81,9320.18,4052.63,4,Yes,Yes,Yes,Yes,796,Very Good (740-799),1,13314.0,0.317,LN-103278,Personal Loan,2022-08-25,8600.0,11.06,24,401.07,Approved,2022-09-04,Debt Consolidation,Low Risk,0,0.0141,Standard,Active,2024-06-05,36-50,Lower-Middle ($35k-$60k),Moderate ($5k-$25k),Micro (<$10k),Loyal (7-10 yrs),Moderate (20-35%),Bronze,1,3500.0,951.16
CUST-11633,Melissa,Williams,Female,57,1967-03-23,Married,Master,Professional,Contract,89200.0,Boston,MA,Northeast,BR-002,Boston Harbor Branch,Money Market,2004-06-30,20.0,114870.44,69476.45,45393.99,2,Yes,No,Yes,Yes,646,Fair (580-669),1,31273.52,0.3506,LN-101633,Personal Loan,2024-01-22,20700.0,13.38,12,1852.56,Approved,2024-02-03,Home Renovation,Medium Risk,1,0.1424,Standard,Active,2024-06-20,51-65,Middle ($60k-$100k),High ($75k-$150k),Small ($10k-$25k),Veteran (10+ yrs),Manageable (36-49%),Platinum,1,7433.33,2769.66
CUST-22055,Jennifer,Jones,Female,31,1993-01-11,Single,High School,Services,Salaried,24500.0,Chicago,IL,Midwest,BR-004,Chicago Loop Branch,Money Market,2011-07-01,13.0,13508.14,10780.56,2727.58,3,No,Yes,Yes,Yes,796,Very Good (740-799),0,1345.05,0.0549,LN-112055,Personal Loan,2021-05-28,4300.0,10.13,60,91.64,Approved,2021-06-11,Wedding,Low Risk,0,0.008,Standard,Active,2024-05-23,26-35,Low (<$35k),Moderate ($5k-$25k),Micro (<$10k),Veteran (10+ yrs),Low (<20%),Bronze,1,2041.67,435.59
CUST-23982,Dorothy,Taylor,Female,51,1972-10-09,Divorced,High School,Sales,Unemployed,18000.0,Detroit,MI,Midwest,BR-005,Detroit Downtown Branch,Savings,2020-06-30,4.0,10436.22,6044.51,4391.71,5,Yes,No,Yes,Yes,756,Very Good (740-799),0,2883.6,0.1602,LN-113982,Auto Loan,2021-05-27,4300.0,5.84,72,70.94,Rejected,,Refinance Auto,Low Risk,0,0.008,Standard,Active,2024-06-18,51-65,Low (<$35k),Moderate ($5k-$25k),Micro (<$10k),Established (3-7 yrs),Low (<20%),Bronze,0,1500.0,251.12
CUST-10386,Dorothy,Robinson,Female,54,1969-12-31,Widowed,Bachelor,Management,Self-Employed,144800.0,New York,NY,Northeast,BR-001,NYC Metro Branch,Savings,2018-09-12,5.8,122578.69,103631.02,18947.67,4,Yes,Yes,No,Yes,751,Very Good (740-799),1,20503.68,0.1416,LN-100386,Home Loan,2023-09-15,477200.0,4.16,360,2322.46,Rejected,,Home Purchase,Low Risk,0,0.008,High Value,Active,2024-06-28,51-65,Upper-Middle ($100k-$150k),High ($75k-$150k),Jumbo (>=$200k),Established (3-7 yrs),Low (<20%),Platinum,0,12066.67,19851.52
CUST-21283,Stephanie,Moore,Female,55,1968-12-14,Divorced,Bachelor,Sales,Salaried,99800.0,Los Angeles,CA,West,BR-015,Los Angeles Metro Branch,Money Market,2024-03-13,0.3,67266.8,55160.81,12105.99,2,Yes,Yes,Yes,Yes,676,Good (670-739),0,37534.78,0.3761,LN-111283,Education Loan,2024-04-29,58600.0,7.16,120,685.24,Approved,2024-05-13,Undergraduate Studies,Low Risk,0,0.0447,Premium,Active,2024-05-30,51-65,Middle ($60k-$100k),Healthy ($25k-$75k),Medium ($25k-$75k),New (<1 yr),Manageable (36-49%),Gold,1,8316.67,4195.76
